"","volatile.acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","Quality"
"675",0.4,0.41,2.2,0.084,17,0.9984,3.08,0.67,9.3,"G"
"676",0.41,0.39,2.2,0.064,31,0.9984,3.26,0.65,10.2,"B"
"677",0.4,0.41,2.2,0.084,17,0.9984,3.08,0.67,9.3,"G"
"678",0.8,0.11,2.3,0.084,31,0.9979,3.4,0.48,9.9,"B"
"679",0.78,0.1,2.6,0.081,87,0.9983,3.48,0.53,10,"B"
"680",0.26,0.45,3.3,0.06,49,0.9972,3.13,0.54,9.6,"B"
"681",0.43,0.58,1.9,0.07,40,1.0004,3.06,0.49,9,"B"
"682",0.45,0.23,2.2,0.094,29,0.9962,3.21,0.49,10.2,"G"
"683",0.46,0.31,2.25,0.078,58,0.998,3.33,0.54,9.8,"B"
"684",0.78,0.23,2.6,0.059,15,0.997,3.37,0.56,11.3,"B"
"685",0.98,0.32,2.3,0.078,152,0.998,3.25,0.48,9.4,"B"
"686",0.78,0.23,2.6,0.059,15,0.997,3.37,0.56,11.3,"B"
"687",0.65,0.18,1.8,0.07,40,0.997,3.44,0.6,9.1,"B"
"688",0.64,0.23,3.1,0.095,38,0.9998,3.28,0.59,9.7,"B"
"689",0.66,0.04,1.6,0.039,9,0.9962,3.4,0.47,9.4,"B"
"690",0.38,0.48,1.8,0.157,17,0.9976,3.3,1.05,9.4,"B"
"691",1.185,0,4.25,0.097,14,0.9966,3.63,0.54,10.7,"B"
"692",0.92,0.24,2.6,0.087,93,0.9998,3.48,0.54,9.8,"B"
"693",0.49,0.51,2,0.422,62,0.9979,3.03,1.17,9,"B"
"694",0.48,0.32,2.8,0.084,122,0.9984,3.32,0.62,9.4,"B"
"695",0.47,0.31,2.7,0.084,125,0.9984,3.31,0.61,9.4,"B"
"696",0.47,0.02,1.3,0.034,44,0.9921,3.9,0.62,12.8,"G"
"697",0.65,0.02,2.1,0.066,25,0.9972,3.47,0.67,9.5,"G"
"698",0.65,0.02,2.1,0.066,25,0.9972,3.47,0.67,9.5,"G"
"699",0.615,0.28,3.2,0.087,72,1.0001,3.31,0.53,9.7,"B"
"700",0.38,0.55,2.1,0.071,19,0.9986,3.11,0.62,10.8,"G"
"701",1.02,0.43,2.9,0.076,88,0.9984,3.08,0.57,10.1,"G"
"702",0.65,0.02,2.1,0.066,25,0.9972,3.47,0.67,9.5,"G"
"703",0.64,0.02,2.1,0.067,23,0.997,3.47,0.67,9.4,"G"
"704",0.38,0.48,2.6,0.073,84,0.9972,3.32,0.7,9.6,"B"
"705",0.765,0.04,1.6,0.078,14,0.998,3.29,0.54,9.7,"B"
"706",1.035,0.15,6,0.073,54,0.999,3.37,0.49,9.9,"B"
"707",0.78,0.08,2,0.093,19,0.9956,3.4,0.47,10,"B"
"708",0.49,0.19,3,0.077,37,0.9966,3.37,0.51,10.5,"B"
"709",0.545,0.12,2.5,0.068,35,0.996,3.34,0.61,11.6,"G"
"710",0.31,0.47,1.6,0.062,33,0.9983,3.27,0.66,10,"G"
"711",1.025,0.43,2.8,0.08,84,0.9985,3.06,0.57,10.1,"B"
"712",0.565,0.34,3,0.093,112,0.9998,3.38,0.61,9.5,"B"
"713",0.69,0,3.2,0.084,33,0.9992,3.36,0.45,9.4,"B"
"714",0.43,0.36,2.3,0.075,48,0.9976,3.34,0.46,9.4,"B"
"715",0.74,0.28,2.6,0.078,77,0.998,3.28,0.51,9.8,"B"
"716",0.49,0.18,2.7,0.069,34,0.9967,3.29,0.48,9.2,"G"
"717",0.43,0.36,2.3,0.075,48,0.9976,3.34,0.46,9.4,"B"
"718",0.46,0.11,2.6,0.079,49,0.9968,3.21,0.57,10,"B"
"719",0.56,0.04,2,0.082,22,0.9976,3.22,0.44,9.6,"B"
"720",0.66,0,3.9,0.086,45,0.9976,3.46,0.54,9.5,"B"
"721",0.56,0.04,2,0.082,22,0.9976,3.22,0.44,9.6,"B"
"722",0.48,0.24,2.85,0.094,106,0.9982,3.1,0.53,9.2,"B"
"723",0.42,0.08,2.7,0.084,48,0.9968,3.21,0.59,10,"B"
"724",0.31,0.3,2.2,0.053,127,0.9965,2.94,1.62,9.5,"B"
"725",1.115,0.1,3.1,0.086,12,0.9958,3.54,0.6,11.2,"B"
"726",0.66,0.17,3,0.077,13,0.9976,3.29,0.55,10.4,"B"
"727",0.72,0.09,2.8,0.084,49,0.9994,3.43,0.72,11.1,"G"
"728",0.57,0.02,1.8,0.067,11,0.997,3.46,0.68,9.5,"B"
"729",0.57,0.02,1.8,0.067,11,0.997,3.46,0.68,9.5,"B"
"730",0.865,0.03,3.2,0.071,58,0.995,3.61,0.49,12.7,"G"
"731",0.55,0.66,2.3,0.387,37,0.9982,3.17,0.67,9.6,"B"
"732",0.875,0.13,3.45,0.088,14,0.9994,3.44,0.52,11.5,"B"
"733",0.835,0.03,2.1,0.092,19,0.9966,3.39,0.47,9.6,"B"
"734",0.45,0.34,2.7,0.082,72,0.998,3.55,0.6,9.5,"B"
"735",0.56,0.2,2,0.075,39,0.9987,3.48,0.62,9.3,"B"
"736",0.965,0.1,2.1,0.112,22,0.9963,3.26,0.5,9.5,"B"
"737",0.965,0.1,2.1,0.112,22,0.9963,3.26,0.5,9.5,"B"
"738",0.59,0,2.5,0.093,58,1.0002,3.5,0.65,9.3,"G"
"739",0.46,0.23,2.8,0.092,104,0.9983,3.1,0.56,9.2,"B"
"740",0.69,0,2.4,0.088,38,0.999,3.35,0.6,9.3,"B"
"741",0.76,0.29,4.2,0.075,16,0.9965,3.45,0.68,11.5,"G"
"742",0.53,0.24,2.6,0.078,139,0.99788,3.21,0.57,9.5,"B"
"743",0.615,0,1.9,0.065,18,0.9972,3.46,0.65,9.2,"B"
"744",0.41,0.58,2.8,0.096,101,1.00024,3.13,0.53,10,"B"
"745",0.39,0.54,2.7,0.095,101,1.0001,3.13,0.51,9.5,"B"
"746",0.51,0.18,2.1,0.07,28,0.99768,3.52,0.73,9.5,"G"
"747",0.34,0.38,2.5,0.08,57,0.9978,3.3,0.47,9,"G"
"748",0.33,0.4,2.6,0.083,68,0.99782,3.3,0.48,9.4,"B"
"749",0.5,0.18,2.1,0.071,31,0.99761,3.52,0.72,9.6,"G"
"750",0.51,0.18,2.1,0.07,28,0.99768,3.52,0.73,9.5,"G"
"751",0.65,0.1,2.9,0.089,40,0.99803,3.29,0.55,9.5,"B"
"752",0.65,0.1,2.9,0.089,40,0.99803,3.29,0.55,9.5,"B"
"753",0.54,0.13,2.5,0.097,66,0.99785,3.39,0.61,9.4,"B"
"754",0.65,0.1,2.9,0.089,40,0.99803,3.29,0.55,9.5,"B"
"755",0.48,0.68,1.7,0.415,32,0.99656,3.09,1.06,9.1,"G"
"756",0.91,0.07,1.9,0.058,47,0.99525,3.51,0.43,10.7,"G"
"757",0.98,0.01,2,0.057,33,0.99488,3.6,0.46,11.2,"G"
"758",0.87,0,2.2,0.084,31,0.99656,3.25,0.5,9.8,"B"
"759",0.87,0,2.2,0.084,31,0.99656,3.25,0.5,9.8,"B"
"760",0.42,0.21,2.5,0.092,88,0.99823,3.19,0.52,9.2,"B"
"761",0.58,0.25,2.8,0.075,104,0.99779,3.23,0.57,9.7,"B"
"762",0.655,0.26,2,0.096,35,0.99738,3.25,0.42,9.6,"B"
"763",0.7,0,1.7,0.069,19,0.99701,3.31,0.53,10,"G"
"764",0.655,0.26,2,0.096,35,0.99738,3.25,0.42,9.6,"B"
"765",0.68,0.11,2.8,0.093,44,0.99888,3.31,0.55,9.5,"G"
"766",0.67,0.1,3,0.091,48,0.99888,3.31,0.54,9.5,"G"
"767",0.59,0.18,2.9,0.089,74,0.99738,3.14,0.54,9.4,"B"
"768",0.6,0.32,2.7,0.103,98,0.99938,3.45,0.62,9.5,"B"
"769",0.59,0.02,2.3,0.082,94,0.99744,3.55,0.53,9.7,"G"
"770",0.72,0.01,1.9,0.076,32,0.99668,3.39,0.54,9.6,"B"
"771",0.59,0.02,2.3,0.082,94,0.99744,3.55,0.53,9.7,"G"
"772",0.685,0.26,2.4,0.082,143,0.9978,3.28,0.55,9.4,"B"
"773",0.57,0.27,2.3,0.082,144,0.99782,3.27,0.55,9.4,"B"
"774",0.4,0.29,1.8,0.157,44,0.9973,3.3,0.92,9.5,"G"
"775",0.4,0.3,1.8,0.157,45,0.99727,3.31,0.91,9.5,"G"
"776",1,0,3,0.102,16,0.99586,3.43,0.46,10,"B"
"777",0.765,0.18,2.4,0.243,48,0.99612,3.4,0.6,10.3,"G"
"778",0.635,0.17,2.4,0.241,18,0.9961,3.4,0.59,10.3,"G"
"779",0.43,0.3,3.4,0.079,34,0.99788,3.36,0.61,10.5,"B"
"780",0.52,0.03,2.6,0.076,92,0.99745,3.5,0.6,9.8,"B"
"781",0.57,0,2,0.19,45,0.99676,3.31,0.6,9.4,"G"
"782",0.46,0.14,2.4,0.114,37,0.99732,3.66,0.65,9.8,"B"
"783",0.82,0.05,2.4,0.081,96,0.99814,3.36,0.53,10,"B"
"784",0.46,0.14,2.4,0.114,37,0.99732,3.66,0.65,9.8,"B"
"785",0.59,0.01,2.5,0.077,85,0.99746,3.55,0.59,9.8,"B"
"786",0.35,0.41,2.3,0.083,61,0.9982,3.21,0.5,9.5,"B"
"787",0.35,0.41,2.3,0.083,61,0.9982,3.21,0.5,9.5,"B"
"788",0.56,0.24,2.2,0.079,58,0.9991,3.18,0.56,10.1,"G"
"789",0.56,0.24,2.2,0.079,58,0.9991,3.18,0.56,10.1,"G"
"790",0.63,0.17,2.9,0.099,119,0.998,3.09,0.52,9.3,"B"
"791",0.37,0.43,2.6,0.082,82,0.99708,3.33,0.68,9.7,"G"
"792",0.64,0.17,2.9,0.084,130,0.99818,3.23,0.54,9.6,"B"
"793",0.61,0.02,2.5,0.081,87,0.99745,3.48,0.6,9.7,"G"
"794",0.6,0,2.6,0.055,13,0.99639,3.38,0.56,10.8,"B"
"795",0.27,0.54,2.3,0.065,26,0.99531,3.17,0.53,12.5,"G"
"796",0.89,0.3,2.6,0.132,60,0.99786,2.99,1.18,10.2,"B"
"797",0.46,0.31,2.5,0.126,64,0.99746,3.1,0.74,9.6,"B"
"798",0.37,0.44,1.6,0.038,42,0.99526,3.24,0.81,10.8,"G"
"799",0.5,0.34,3.6,0.082,14,0.9987,3.29,0.52,10.7,"G"
